"Officiële naam";"Alternatieve naam";"Afkorting";"Type";"Subtype";"Startdatum";"Einddatum";"Datum ter verificatie";"Laatste mutatie";"Classificaties";"Onderdeel van";"Organisatiebeschrijving/doel";"Link naar uitgebreidere organisatiebeschrijving";"Adressen (type, toelichting, straat, huisnummer, toevoeging, postbus, postcode, plaats, regio, provincieAfkorting, land, centroideLatitude, centroideLongitude, centroideRdx, centroideRdy)";"Online afspraak url";"Afspraak per email";"Telefonische afspraak";"Telefoonnummers ";"Fax";"E-mail adressen";"Internetpagina's";"Sociale Media";"Contactformulieren";"Beschrijving contactgegevens";"Relatie met ministerie";"Link naar organogram";"Oppervlakte (km2)";"Wateroppervlakte (km2)";"Bevat plaatsen";"Aantal inwoners";"Inwoners per km2";"Totaal aantal zetels";"Raad (Partij (aantal zetels))";"Beleidsterreinen";"Datum van publiceren begroting";"Actieve afwijkingen van de Regeling";"OWMS URI";"TOOi URI";"KVK-nummer";"btw-nummer";"Loonheffingennummer";"OIN";"Organisatiecode";"Actieve beheerder ROO"
"Gemeente Aa en Hunze";"";"Aa en Hunze";"Gemeente";"";"01-01-1998";"";"02-06-2025";"02-06-2025";"CAO, wettelijke-grondslagen: https://www.caogemeenten.nl/, opschrift: CAO Gemeenten;Overheidswerkgever, externe-url: https://www.wnra.nl/, wettelijke-grondslagen: https://wetten.overheid.nl/BWBR0001947, opschrift: Ambtenarenwet 2017;WNT-instelling, externe-url: https://www.topinkomens.nl/voor-wnt-instellingen/wnt-register, wettelijke-grondslagen: http://wetten.overheid.nl/jci1.3:c:BWBR0032249&paragraaf=1&artikel=1.2&lid=1, opschrift: Gemeenten (Artikel 1.2, lid 1c, WNT);Woo, externe-url: https://www.rijksoverheid.nl/onderwerpen/wet-open-overheid-woo, wettelijke-grondslagen: https://wetten.overheid.nl/BWBR0045754, opschrift: Wet open overheid";"";"De organisatie van gemeente Aa en Hunze bestaat uit een tweehoofdige directie en 11 teams. Ieder team heeft zijn eigen teamleider. Samen sturen zij ongeveer 300 medewerkers aan.";"https://www.aaenhunze.nl/Alle_onderwerpen/Bestuur_en_organisatie";"adresType: Bezoekadres, openbareRuimte: Spiekersteeg, huisnummer: 1, postcode: 9461 BH, woonplaats: GIETEN, provincieAfkorting: DR, centroideLatitude: 53.00479338, centroideLongitude: 6.76022075, centroideRdx: 247163.0, centroideRdy: 558415.0;adresType: Postadres, postbus: 93, postcode: 9460 AB, woonplaats: GIETEN;adresType: Woo-Adres, openbareRuimte: Spiekersteeg, huisnummer: 1, postcode: 9461BH, woonplaats: Gieten, provincieAfkorting: DR, centroideLatitude: 53.00479336, centroideLongitude: 6.76022068, centroideRdx: 247163.0, centroideRdy: 558415.0;adresType: Woo-Adres, postbus: 93, postcode: 9460 AB, woonplaats: Gieten";"https://aaenhunze.mijnafspraakmaken.nl/";"";"14 0592";"14 0592, label: algemeen";"";"gemeente@aaenhunze.nl, label: algemeen";"https://www.aaenhunze.nl, label: algemeen";"";"";"";"";"https://www.aaenhunze.nl/Alle_onderwerpen/Bestuur_en_organisatie";"279,27";"";"Amen, Anderen, Anloo, Annen, Annerveenschekanaal, Balloerveld, Balloo, Deurze, Eext, Eexterveen, Eexterveenschekanaal, Eexterzandvoort, Ekehaar, Eldersloo, Eleveld, Gasselte, Gasselternijveen, Gasselternijveenschemond, Gasteren, Geelbroek, Gieten, Gieterveen, Grolloo, Marwijksoord, Nieuw Annerveen, Nieuwediep, Nijlande, Nooitgedacht, Oud Annerveen, Papenvoort, Rolde, Schipborg, Schoonloo, Spijkerboor DR, Vredenheim";"25935";"92";"21";"Gemeentebelangen Aa en Hunze (9);PvdA (3);VVD (3);GroenLinks (3);D66 (2);CDA (1)";"";"";"";"http://standaarden.overheid.nl/owms/terms/Aa_en_Hunze";"https://identifier.overheid.nl/tooi/id/gemeente/gm1680";"01140749";"";"";"";"gm1680";"Ja"
"Gemeente Aalsmeer";"";"Aalsmeer";"Gemeente";"";"";"";"07-06-2025";"07-06-2025";"CAO, wettelijke-grondslagen: https://www.caogemeenten.nl/, opschrift: CAO Gemeenten;Overheidswerkgever, externe-url: https://www.wnra.nl/, wettelijke-grondslagen: https://wetten.overheid.nl/BWBR0001947, opschrift: Ambtenarenwet 2017;WNT-instelling, externe-url: https://www.topinkomens.nl/voor-wnt-instellingen/wnt-register, wettelijke-grondslagen: http://wetten.overheid.nl/jci1.3:c:BWBR0032249&paragraaf=1&artikel=1.2&lid=1, opschrift: Gemeenten (Artikel 1.2, lid 1c, WNT);Woo, externe-url: https://www.rijksoverheid.nl/onderwerpen/wet-open-overheid-woo, wettelijke-grondslagen: https://wetten.overheid.nl/BWBR0045754, opschrift: Wet open overheid";"";"In de gemeente Amstelveen en Aalsmeer zetten ruim 1.200 medewerkers zich in voor ruim 128.000 inwoners. Zij doen dat in opdracht van beide gemeenteraden en colleges van burgemeester en wethouders, onder leiding van de algemeen directeur Amstelveen-Aalsmeer. In Aalsmeer wordt nauw samengewerkt met de kernorganisatie Aalsmeer (KOA). De ambtelijke organisatie van de gemeenten Amstelveen en Aalsmeer noemen we de AA-organisatie.";"https://www.aalsmeer.nl/organisatiestructuur";"adresType: Bezoekadres, openbareRuimte: Raadhuisplein, huisnummer: 1, postcode: 1431 EH, woonplaats: AALSMEER, provincieAfkorting: NH, centroideLatitude: 52.26706291, centroideLongitude: 4.75031522, centroideRdx: 111524.747, centroideRdy: 475639.972;adresType: Postadres, postbus: 253, postcode: 1430 AG, woonplaats: AALSMEER;adresType: Woo-Adres, openbareRuimte: Raadhuisplein, huisnummer: 1, postbus: 253, postcode: 1431EH, woonplaats: Aalsmeer, provincieAfkorting: NH, land: Nederland, centroideLatitude: 52.26706291, centroideLongitude: 4.75031516, centroideRdx: 111524.747, centroideRdy: 475639.972";"https://aalsmeer.mijnafspraakmaken.nl/";"info@aalsmeer.nl";"(0297) 38 75 75";"(0297) 38 75 75, label: algemeen";"";"info@aalsmeer.nl, label: algemeen";"https://www.aalsmeer.nl, label: algemeen";"";"";"";"";"https://www.aalsmeer.nl/organisatiestructuur";"33,91";"";"Aalsmeer, Kudelstaart";"33250";"980";"23";"CDA (6);VVD (5);Absoluut Aalsmeer (4);D66 (3);FlorAalsmeer (2);GroenLinks (2);PvdA (1)";"";"";"";"http://standaarden.overheid.nl/owms/terms/Aalsmeer_(gemeente)";"https://identifier.overheid.nl/tooi/id/gemeente/gm0358";"34362237";"";"";"";"gm0358";"Ja"
"Gemeente Aalten";"";"Aalten";"Gemeente";"";"";"";"10-05-2025";"10-05-2025";"CAO, wettelijke-grondslagen: https://www.caogemeenten.nl/, opschrift: CAO Gemeenten;Overheidswerkgever, externe-url: https://www.wnra.nl/, wettelijke-grondslagen: https://wetten.overheid.nl/BWBR0001947, opschrift: Ambtenarenwet 2017;WNT-instelling, externe-url: https://www.topinkomens.nl/voor-wnt-instellingen/wnt-register, wettelijke-grondslagen: http://wetten.overheid.nl/jci1.3:c:BWBR0032249&paragraaf=1&artikel=1.2&lid=1, opschrift: Gemeenten (Artikel 1.2, lid 1c, WNT);Woo, externe-url: https://www.rijksoverheid.nl/onderwerpen/wet-open-overheid-woo, wettelijke-grondslagen: https://wetten.overheid.nl/BWBR0045754, opschrift: Wet open overheid";"";"De gemeente Aalten kent een 2-hoofdige directie, één stafafdeling en 6 teams.De behandeling van de Woo verzoeken is ondergebracht bij de Woo-Coördinator, team Bestuursondersteuning en VeiligheidContactpersoon is de beleidscoördinator Digitale Informatievoorziening";"https://www.aalten.nl/bestuur-en-organisatie";"adresType: Bezoekadres, openbareRuimte: Hofstraat, huisnummer: 8, postcode: 7121 DM, woonplaats: AALTEN, provincieAfkorting: GD, centroideLatitude: 51.92598703, centroideLongitude: 6.5826625, centroideRdx: 237227.538, centroideRdy: 438177.8;adresType: Postadres, postbus: 119, postcode: 7120 AC, woonplaats: AALTEN;adresType: Woo-Adres, toelichting: Gemeentekantoor (publieksdiensten), postbus: 119, postcode: 7120 ACC, woonplaats: Aalten, provincieAfkorting: Gld, land: Nederland";"https://aalten.mijnafspraakmaken.nl/";"gemeente@aalten.nl";"(0543) 49 33 33";"(0543) 49 33 33, label: algemeen";"";"gemeente@aalten.nl, label: algemeen";"https://www.aalten.nl, label: algemeen";"";"";"";"";"";"97,04";"";"Aalten, Bredevoort, De Heurne, Dinxperlo";"27466";"283";"21";"CDA (7);GemeenteBelangen (4);BBB-HMV (4);VVD (2);Progressieve Partij (2);ChristenUnie (1);D66 (1)";"";"";"";"http://standaarden.overheid.nl/owms/terms/Aalten_(gemeente)";"https://identifier.overheid.nl/tooi/id/gemeente/gm0197";"09215631";"";"";"";"gm0197";"Ja"
"Gemeente Achtkarspelen";"";"Achtkarspelen";"Gemeente";"";"";"";"03-06-2025";"03-06-2025";"CAO, wettelijke-grondslagen: https://www.caogemeenten.nl/, opschrift: CAO Gemeenten;Overheidswerkgever, externe-url: https://www.wnra.nl/, wettelijke-grondslagen: https://wetten.overheid.nl/BWBR0001947, opschrift: Ambtenarenwet 2017;WNT-instelling, externe-url: https://www.topinkomens.nl/voor-wnt-instellingen/wnt-register, wettelijke-grondslagen: http://wetten.overheid.nl/jci1.3:c:BWBR0032249&paragraaf=1&artikel=1.2&lid=1, opschrift: Gemeenten (Artikel 1.2, lid 1c, WNT);Woo, externe-url: https://www.rijksoverheid.nl/onderwerpen/wet-open-overheid-woo, wettelijke-grondslagen: https://wetten.overheid.nl/BWBR0045754, opschrift: Wet open overheid";"";"";"https://www.achtkarspelen.nl/de-organisatie";"adresType: Bezoekadres, openbareRuimte: Stationsstraat, huisnummer: 18, postcode: 9285 NH, woonplaats: BUITENPOST, provincieAfkorting: FR, centroideLatitude: 53.25549633, centroideLongitude: 6.14316759, centroideRdx: 205452.39, centroideRdy: 585702.54;adresType: Postadres, postbus: 2, postcode: 9285 ZV, woonplaats: BUITENPOST;adresType: Woo-Adres, openbareRuimte: Stationsstraat, huisnummer: 18, postcode: 9285 NH, woonplaats: Buitenpost, provincieAfkorting: FR, land: Nederland";"https://www.achtkarspelen.nl/afspraak-maken";"gemeente@achtkarspelen.nl";"14 0511";"14 0511, label: algemeen";"";"gemeente@achtkarspelen.nl, label: algemeen";"https://www.achtkarspelen.nl, label: algemeen";"";"";"";"";"https://cuatro.sim-cdn.nl/achtkarspelen/uploads/Organogram%20Achtkarspelen%20en%20Tytsjerksteradiel%202024.pdf?cb=WM9hPyxv";"103,98";"";"Augustinusga, Boelenslaan, Buitenpost, Drogeham, Gerkesklooster, Harkema, Kootstertille, Stroobos, Surhuisterveen, Surhuizum, Twijzel, Twijzelerheide";"28200";"271";"21";"CDA (6);FNP (5);ChristenUnie (3);Onafhankelijk (2);PvdA (2);GroenLinks (1);GBA (1);PVV (1)";"";"";"";"http://standaarden.overheid.nl/owms/terms/Achtkarspelen";"https://identifier.overheid.nl/tooi/id/gemeente/gm0059";"01176356";"";"";"";"gm0059";"Ja"
"Gemeente Alblasserdam";"";"Alblasserdam";"Gemeente";"";"";"";"01-06-2025";"01-06-2025";"CAO, wettelijke-grondslagen: https://www.caogemeenten.nl/, opschrift: CAO Gemeenten;Overheidswerkgever, externe-url: https://www.wnra.nl/, wettelijke-grondslagen: https://wetten.overheid.nl/BWBR0001947, opschrift: Ambtenarenwet 2017;WNT-instelling, externe-url: https://www.topinkomens.nl/voor-wnt-instellingen/wnt-register, wettelijke-grondslagen: http://wetten.overheid.nl/jci1.3:c:BWBR0032249&paragraaf=1&artikel=1.2&lid=1, opschrift: Gemeenten (Artikel 1.2, lid 1c, WNT);Woo, externe-url: https://www.rijksoverheid.nl/onderwerpen/wet-open-overheid-woo, wettelijke-grondslagen: https://wetten.overheid.nl/BWBR0045754, opschrift: Wet open overheid";"";"Aan het hoofd van de ambtelijke organisatie staat de gemeentesecretaris (algemeen directeur). De gemeentesecretaris ondersteunt en adviseert de burgemeester, het college en de door hen ingestelde commissies bij de uitoefening van hun bestuurlijke taken.De gemeentesecretaris is de schakel tussen de ambtelijke organisatie en het college van B&W. Ze is eindverantwoordelijk voor de bedrijfsvoering van de ambtelijke organisatie. De afdelingshoofden helpen haar hierbij. De dagelijkse leiding van de afdelingen ligt bij de afdelingshoofden en teamleiders van:- Afdeling Ruimtelijke en Maatschappelijke Ontwikkeling- Afdeling Buitenruimte- Team Bestuur & Bedrijfsvoering- Team Financiën & Control- Team Veiligheid";"https://www.alblasserdam.nl/Bestuur_Organisatie/Alle_onderwerpen/Ambtelijke_organisatie";"adresType: Bezoekadres, openbareRuimte: Cortgene, huisnummer: 2, postcode: 2951 ED, woonplaats: ALBLASSERDAM, provincieAfkorting: ZH, centroideLatitude: 51.86160378, centroideLongitude: 4.65801057, centroideRdx: 104771.0, centroideRdy: 430590.0;adresType: Postadres, postbus: 2, postcode: 2950 AA, woonplaats: ALBLASSERDAM;adresType: Woo-Adres, postbus: 2, postcode: 2950AA, woonplaats: Alblasserdam, provincieAfkorting: ZH, land: Nederland";"https://www.alblasserdam.nl/Inwoners/Alle_onderwerpen/Contact";"";"14 078";"14 078, label: algemeen";"";"";"https://www.alblasserdam.nl, label: algemeen";"";"https://loket.alblasserdam.nl/aanvraag?schema=informatieverzoekdoorderde, taalcode: nl-NL";"";"";"https://www.alblasserdam.nl/Bestuur_Organisatie/Alle_onderwerpen/Ambtelijke_organisatie";"10,0";"";"Alblasserdam";"20242";"2024";"19";"SGP (5);VVD (3);CDA (3);PvdA (3);D66 (3);ChristenUnie (2)";"";"";"";"http://standaarden.overheid.nl/owms/terms/Alblasserdam_(gemeente)";"https://identifier.overheid.nl/tooi/id/gemeente/gm0482";"51378469";"";"";"";"gm0482";"Ja"
"Gemeente Albrandswaard";"";"Albrandswaard";"Gemeente";"";"01-01-1985";"";"17-05-2025";"17-05-2025";"CAO, wettelijke-grondslagen: https://www.caogemeenten.nl/, opschrift: CAO Gemeenten;Overheidswerkgever, externe-url: https://www.wnra.nl/, wettelijke-grondslagen: https://wetten.overheid.nl/BWBR0001947, opschrift: Ambtenarenwet 2017;WNT-instelling, externe-url: https://www.topinkomens.nl/voor-wnt-instellingen/wnt-register, wettelijke-grondslagen: http://wetten.overheid.nl/jci1.3:c:BWBR0032249&paragraaf=1&artikel=1.2&lid=1, opschrift: Gemeenten (Artikel 1.2, lid 1c, WNT);Woo, externe-url: https://www.rijksoverheid.nl/onderwerpen/wet-open-overheid-woo, wettelijke-grondslagen: https://wetten.overheid.nl/BWBR0045754, opschrift: Wet open overheid";"";"De gemeente Albrandswaard is georganiseerd in verschillende clusters en teams.";"https://www.albrandswaard.nl/bestuur-organisatie/organogram/";"adresType: Bezoekadres, openbareRuimte: Stationsstraat, huisnummer: 4, postcode: 3161 KP, woonplaats: RHOON, provincieAfkorting: ZH, centroideLatitude: 51.86088914, centroideLongitude: 4.39400437, centroideRdx: 86585.03, centroideRdy: 430725.885;adresType: Postadres, postbus: 1000, postcode: 3160 GA, woonplaats: RHOON;adresType: Woo-Adres, openbareRuimte: Stationsstraat 4, postcode: 3161 KP, woonplaats: Rhoon, provincieAfkorting: ZH;adresType: Woo-Adres, postbus: 1000, postcode: 3160 GA, woonplaats: Rhoon, provincieAfkorting: ZH";"https://albrandswaard.mijnafspraakmaken.nl/";"";"(010) 506 11 11";"(010) 506 11 11, label: algemeen";"";"info@albrandswaard.nl, label: algemeen";"https://www.albrandswaard.nl, label: algemeen";"gebruikersnaam: albrandswaardzh, type: Facebook, URL: https://www.facebook.com/albrandswaardzh/;gebruikersnaam: ALBRANDSWAARDzh, type: X, URL: https://x.com/ALBRANDSWAARDzh;gebruikersnaam: gemeentealbrandswaard, type: Instagram, URL: https://www.instagram.com/gemeentealbrandswaard/;gebruikersnaam: Gemeente Albrandswaard, type: LinkedIn, URL: https://www.linkedin.com/company/gemeentealbrandswaard/posts/?feedView=all";"";"";"";"https://www.albrandswaard.nl/bestuur-organisatie/organogram/";"24,0";"";"Poortugaal, Rhoon, Rotterdam-Albrandswaard";"26707";"1112";"21";"EVA (6);VVD (4);Stem Lokaal (3);CDA (3);GroenLinks/PvdA (3);NAP (1);Leefbaar Albrandswaard (1)";"";"";"";"http://standaarden.overheid.nl/owms/terms/Albrandswaard";"https://identifier.overheid.nl/tooi/id/gemeente/gm0613";"50875825";"";"";"";"gm0613";"Ja"
"Gemeente Alkmaar";"";"Alkmaar";"Gemeente";"";"";"";"06-06-2025";"06-06-2025";"CAO, wettelijke-grondslagen: https://www.caogemeenten.nl/, opschrift: CAO Gemeenten;Overheidswerkgever, externe-url: https://www.wnra.nl/, wettelijke-grondslagen: https://wetten.overheid.nl/BWBR0001947, opschrift: Ambtenarenwet 2017;WNT-instelling, externe-url: https://www.topinkomens.nl/voor-wnt-instellingen/wnt-register, wettelijke-grondslagen: http://wetten.overheid.nl/jci1.3:c:BWBR0032249&paragraaf=1&artikel=1.2&lid=1, opschrift: Gemeenten (Artikel 1.2, lid 1c, WNT);Woo, externe-url: https://www.rijksoverheid.nl/onderwerpen/wet-open-overheid-woo, wettelijke-grondslagen: https://wetten.overheid.nl/BWBR0045754, opschrift: Wet open overheid";"";"Gemeente Alkmaar organisatiestructuur";"https://www.alkmaar.nl/bestuur-en-organisatie/organisatiestructuur/";"adresType: Bezoekadres, openbareRuimte: Mallegatsplein, huisnummer: 10, postcode: 1815 AG, woonplaats: ALKMAAR, provincieAfkorting: NH, centroideLatitude: 52.63536462, centroideLongitude: 4.7461302, centroideRdx: 111601.792, centroideRdy: 516621.113;adresType: Postadres, postbus: 53, postcode: 1800 BC, woonplaats: ALKMAAR;adresType: Woo-Adres, openbareRuimte: Mallegatsplein, toevoeging: 10, postcode: 1800BC, woonplaats: Alkmaar, regio: Noord-Holland, provincieAfkorting: NH, land: Nederland";"https://www.alkmaar.nl/contact/";"";"14 072";"14 072, label: algemeen";"";"post@alkmaar.nl, label: algemeen";"https://www.alkmaar.nl, label: algemeen";"";"";"";"";"https://www.alkmaar.nl/bestuur-en-organisatie/organisatiestructuur/";"31,22";"";"Alkmaar, De Rijp, Driehuizen, Graft, Grootschermer, Koedijk, Markenbinnen, Noordeinde NH, Oost-Graftdijk, Oterleek, Oudorp, Schermerhorn, Starnmeer, Stompetoren, Ursem, West-Graftdijk, Zuidschermer";"112896";"3616";"39";"GroenLinks (5);OPA (5);BAS (5);D66 (5);VVD (4);Leefbaar Alkmaar (3);PvdA (3);CDA (2);Partij voor de Dieren (2);Lijst Saskia Spek (2);ChristenUnie (1);SP (1);Forum voor Democratie (1)";"";"";"";"http://standaarden.overheid.nl/owms/terms/Alkmaar_(gemeente)";"https://identifier.overheid.nl/tooi/id/gemeente/gm0361";"62255398";"";"";"";"gm0361";"Ja"
"Gemeente Almelo";"";"Almelo";"Gemeente";"";"01-01-1913";"";"18-04-2025";"18-04-2025";"CAO, wettelijke-grondslagen: https://www.caogemeenten.nl/, opschrift: CAO Gemeenten;Overheidswerkgever, externe-url: https://www.wnra.nl/, wettelijke-grondslagen: https://wetten.overheid.nl/BWBR0001947, opschrift: Ambtenarenwet 2017;WNT-instelling, externe-url: https://www.topinkomens.nl/voor-wnt-instellingen/wnt-register, wettelijke-grondslagen: http://wetten.overheid.nl/jci1.3:c:BWBR0032249&paragraaf=1&artikel=1.2&lid=1, opschrift: Gemeenten (Artikel 1.2, lid 1c, WNT);Woo, externe-url: https://www.rijksoverheid.nl/onderwerpen/wet-open-overheid-woo, wettelijke-grondslagen: https://wetten.overheid.nl/BWBR0045754, opschrift: Wet open overheid";"";"";"https://lokaleregelgeving.overheid.nl/CVDR644286";"adresType: Bezoekadres, openbareRuimte: Haven Zuidzijde, huisnummer: 30, postcode: 7607 EW, woonplaats: ALMELO, provincieAfkorting: OV, centroideLatitude: 52.35722017, centroideLongitude: 6.65928678, centroideRdx: 241656.398, centroideRdy: 486241.252;adresType: Postadres, postbus: 5100, postcode: 7600 GC, woonplaats: ALMELO;adresType: Woo-Adres, toelichting: Stadhuis Almelo, openbareRuimte: Haven Zuidzijde, huisnummer: 30, postcode: 7607 EW, woonplaats: Almelo, regio: Overijssel, land: Nederland";"https://almelo.mijnafspraakmaken.nl/";"";"(0546) 54 11 11";"(0546) 54 11 11, label: algemeen";"";"Gemeente@almelo.nl, label: algemeen";"https://www.almelo.nl, label: algemeen";"";"";"";"";"https://almelo.bestuurlijkeinformatie.nl/Reports/Document/b93f373b-f97b-4911-9a2c-d29218903f90?documentId=4d206f3b-58a1-40cc-bf7c-8decc37f3d62";"69,41";"";"Aadorp, Almelo, Bornerbroek";"74776";"1077";"35";"VVD (5);CDA (5);Lokaal Almelo Samen (4);D66 (3);PvdA (2);Democraten.Nu (2);SP (2);ChristenUnie (2);PVV (2);Leefbaar Almelo (1);GroenLinks (1);Lijst Çete (1);Fractie Gelici (1);Partij Vrij Almelo (1);Fractie Middelkamp (1);Forum voor Democratie (1);Almelo Centraal (1)";"";"";"";"http://standaarden.overheid.nl/owms/terms/Almelo";"https://identifier.overheid.nl/tooi/id/gemeente/gm0141";"08214858";"";"";"";"gm0141";"Ja"
"Gemeente Almere";"";"Almere";"Gemeente";"";"01-01-1984";"";"29-05-2025";"29-05-2025";"CAO, wettelijke-grondslagen: https://www.caogemeenten.nl/, opschrift: CAO Gemeenten;Overheidswerkgever, externe-url: https://www.wnra.nl/, wettelijke-grondslagen: https://wetten.overheid.nl/BWBR0001947, opschrift: Ambtenarenwet 2017;WNT-instelling, externe-url: https://www.topinkomens.nl/voor-wnt-instellingen/wnt-register, wettelijke-grondslagen: http://wetten.overheid.nl/jci1.3:c:BWBR0032249&paragraaf=1&artikel=1.2&lid=1, opschrift: Gemeenten (Artikel 1.2, lid 1c, WNT);Woo, externe-url: https://www.rijksoverheid.nl/onderwerpen/wet-open-overheid-woo, wettelijke-grondslagen: https://wetten.overheid.nl/BWBR0045754, opschrift: Wet open overheid";"";"";"https://www.almere.nl/bestuur/wet-open-overheid-woo/organisatiegegevens";"adresType: Bezoekadres, openbareRuimte: Stadhuisplein, huisnummer: 1, postcode: 1315 HR, woonplaats: ALMERE, provincieAfkorting: FL, centroideLatitude: 52.37170651, centroideLongitude: 5.22161002, centroideRdx: 143722.718, centroideRdy: 487105.007;adresType: Postadres, postbus: 200, postcode: 1300 AE, woonplaats: ALMERE;adresType: Woo-Adres, toelichting: t.a.v. gemeentelijke Woo-contactfunctionaris, postbus: 200, postcode: 1300 AE, woonplaats: Almere, regio: Noord, provincieAfkorting: FL, land: Nederland";"https://www.almere.nl/contact";"info@almere.nl";"14 036";"14 036, label: algemeen";"";"info@almere.nl, label: algemeen";"https://www.almere.nl, label: algemeen";"";"";"";"";"https://www.almere.nl/fileadmin/files/almere/bestuur/2023_Organigram_afdelingen_gemeente_almere.pdf";"248,77";"";"Almere";"229574";"922";"45";"VVD (6);PVV (5);D66 (4);SP (4);PvdA (4);Leefbaar Almere (3);Partij voor de Dieren (3);ChristenUnie (3);GroenLinks (3);CDA (2);50PLUS (2);Forum voor Democratie (2);Respect Almere (1);Groep Buyatui (1);BIJ1 (1);Almere Partij (1)";"";"";"";"http://standaarden.overheid.nl/owms/terms/Almere_(gemeente)";"https://identifier.overheid.nl/tooi/id/gemeente/gm0034";"32164984";"";"";"";"gm0034";"Ja"
"Gemeente Alphen aan den Rijn";"";"Alphen aan den Rijn";"Gemeente";"";"01-01-1918";"";"16-04-2025";"16-04-2025";"CAO, wettelijke-grondslagen: https://www.caogemeenten.nl/, opschrift: CAO Gemeenten;Overheidswerkgever, externe-url: https://www.wnra.nl/, wettelijke-grondslagen: https://wetten.overheid.nl/BWBR0001947, opschrift: Ambtenarenwet 2017;WNT-instelling, externe-url: https://www.topinkomens.nl/voor-wnt-instellingen/wnt-register, wettelijke-grondslagen: http://wetten.overheid.nl/jci1.3:c:BWBR0032249&paragraaf=1&artikel=1.2&lid=1, opschrift: Gemeenten (Artikel 1.2, lid 1c, WNT);Woo, externe-url: https://www.rijksoverheid.nl/onderwerpen/wet-open-overheid-woo, wettelijke-grondslagen: https://wetten.overheid.nl/BWBR0045754, opschrift: Wet open overheid";"";"";"";"adresType: Bezoekadres, openbareRuimte: Stadhuisplein, huisnummer: 1, postcode: 2405 SH, woonplaats: ALPHEN AAN DEN RIJN, provincieAfkorting: ZH, centroideLatitude: 52.12928954, centroideLongitude: 4.65951485, centroideRdx: 105172.925, centroideRdy: 460369.996;adresType: Postadres, postbus: 13, postcode: 2400 AA, woonplaats: ALPHEN AAN DEN RIJN;adresType: Woo-Adres, postbus: 13, postcode: 2400AA, woonplaats: Alphen aan den Rijn";"https://www.alphenaandenrijn.nl/Contact_en_openingstijden/Afspraak_maken";"gemeente@alphenaandenrijn.nl";"14 0172";"14 0172, label: algemeen";"";"gemeente@alphenaandenrijn.nl, label: algemeen";"https://www.alphenaandenrijn.nl, label: algemeen";"";"";"";"";"https://www.alphenaandenrijn.nl/Bestuur_en_organisatie/Organogram";"57,68";"";"Aarlanderveen, Alphen aan den Rijn, Benthuizen, Boskoop, Hazerswoude-Dorp, Hazerswoude-Rijndijk, Koudekerk aan den Rijn, Zwammerdam";"115773";"2007";"38";"Nieuw Elan (7);GroenLinks (6);CDA (5);VVD (5);D66 (4);ONS Alphen (2);ChristenUnie (2);PvdA (2);Alphen voor Elkaar (2);SGP (1);RijnGouwe Lokaal (1);Forum voor Democratie (1)";"";"";"";"http://standaarden.overheid.nl/owms/terms/Alphen_aan_den_Rijn_(gemeente)";"https://identifier.overheid.nl/tooi/id/gemeente/gm0484";"27375186";"";"";"";"gm0484";"Ja"
