gemeente,plaats,lat,lng
Aa en Hunze,Aa en Hunze,53.00479338,6.76022075
Aalsmeer,Aalsmeer,52.26706291,4.75031522
Aalten,Aalten,51.92598703,6.5826625
Achtkarspelen,Achtkarspelen,53.25549633,6.14316759
Alblasserdam,Alblasserdam,51.86160378,4.65801057
Albrandswaard,Albrandswaard,51.86088914,4.39400437
Alkmaar,Alkmaar,52.63536462,4.7461302
Almelo,Almelo,52.35722017,6.65928678
Almere,Almere,52.37170651,5.22161002
Alphen aan den Rijn,Alphen aan den Rijn,52.12928954,4.65951485
Alphen-Chaam,Alphen-Chaam,51.48298782,4.95473616
Altena,Altena,51.77085134,4.93960317
Ameland,Ameland,53.44149463,5.68754272
Amersfoort,Amersfoort,,
Amstelveen,Amstelveen,52.30205442,4.84374245
Amsterdam,Amsterdam,52.3676456,4.90016554
Apeldoorn,Apeldoorn,52.21575579,5.96394125
Arnhem,Arnhem,51.97934657,5.91104524
Assen,Assen,52.99463641,6.56506716
Asten,Asten,51.40386808,5.74523324
Baarle-Nassau,Baarle-Nassau,51.44339018,4.93058736
Baarn,Baarn,52.21102943,5.29166401
Barendrecht,Barendrecht,51.85674328,4.53925766
Barneveld,Barneveld,52.13977826,5.58637753
Beek,Beek,50.93910295,5.79449594
Beekdaelen,Beekdaelen,50.91890624,5.88705686
Beesel,Beesel,51.28376916,6.07738437
Berg en Dal,Berg en Dal,51.77747612,5.93240188
Bergeijk,Bergeijk,51.32042793,5.35767627
Bergen (L),Bergen (L),51.60306992,6.0494255
Bergen NH,Bergen NH,52.6442142,4.72537622
Bergen op Zoom,Bergen op Zoom,51.49157182,4.29261409
Berkelland,Berkelland,52.11646078,6.52683267
Bernheze,Bernheze,51.7346165,5.52719554
Best,Best,51.51150254,5.39633722
Beuningen,Beuningen,51.86360376,5.78034656
Beverwijk,Beverwijk,52.47826408,4.65475072
Bladel,Bladel,51.36654879,5.21482905
Blaricum,Blaricum,52.27105385,5.24995677
Bloemendaal,Bloemendaal,52.39662057,4.61258065
Bodegraven-Reeuwijk,Bodegraven-Reeuwijk,52.08623678,4.7480805
Boekel,Boekel,51.60328535,5.67319334
Borger-Odoorn,Borger-Odoorn,52.8828537,6.86387205
Borne,Borne,52.29997098,6.75726881
Borsele,Borsele,51.47216635,3.8211727
Boxtel,Boxtel,51.588203,5.3278092
Breda,Breda,51.58741957,4.78310951
Bronckhorst,Bronckhorst,52.04521995,6.30364694
Brummen,Brummen,52.08823324,6.14700284
Brunssum,Brunssum,50.94389074,5.97083802
Bunnik,Bunnik,52.05524255,5.22607807
Bunschoten,Bunschoten,52.24326158,5.37398264
Buren,Buren,51.95616133,5.42491062
Capelle aan den IJssel,Capelle aan den IJssel,51.93041483,4.58766195
Castricum,Castricum,52.54959701,4.67222688
